Experiment ID,Dataset Name,Model,Question,No Data,Precision,Recall,F1,Correct Rows,Extra Rows,Missing Rows,Number of Retries,Successful Code Exec. Duration,Total Duration
b69ccc61-0ee0-4b23-a740-1db580897f92,86b59acea929,meta-llama-3.1-8b-instruct,What topics does Instagram determine to be of interest for a user?,True,,,,0,0,0,6,,68.83
d08a5c8b-b073-4e36-b68e-0333bbf3ebb1,b70bc07b63be,meta-llama-3.1-8b-instruct,What topics does Instagram determine to be of interest for a user?,True,0.0,0.0,0.0,0,103,0,2,0.18,31.22
a1efa5d6-562f-4c54-82a3-6c522917da84,efc2df336587,meta-llama-3.1-8b-instruct,What topics does Instagram determine to be of interest for a user?,False,1.0,1.0,1.0,32,0,0,2,0.2,31.69
097280f3-c2c1-4324-8bb7-e71eaaae682a,3ccff49e121d,meta-llama-3.1-8b-instruct,What topics does Instagram determine to be of interest for a user?,False,1.0,1.0,1.0,20,0,0,0,0.22,15.55
390e815e-4ff6-46d5-92cc-aeed0198d0ac,ab368ab82b0f,meta-llama-3.1-8b-instruct,What topics does Instagram determine to be of interest for a user?,False,1.0,1.0,1.0,20,0,0,0,0.19,12.02
9efec22b-6730-46f6-aa46-6b59a23fc219,ea89d62a1f88,meta-llama-3.1-8b-instruct,What topics does Instagram determine to be of interest for a user?,False,1.0,1.0,1.0,6,0,0,0,0.2,12.03
e8d8a1ee-fffd-4ec6-9be1-529aeb131d54,a352e9bb575a,meta-llama-3.1-8b-instruct,What topics does Instagram determine to be of interest for a user?,False,1.0,1.0,1.0,6,0,0,2,0.19,23.94
3c22ff13-c77a-4624-9615-e33ce9134ceb,1ccacb482d0e,meta-llama-3.1-8b-instruct,What topics does Instagram determine to be of interest for a user?,True,0.0,0.0,0.0,0,6,0,2,0.23,39.66
4c288270-ca91-4c3e-ace9-99b9cb640e46,fd23adcc813f,meta-llama-3.1-8b-instruct,What topics does Instagram determine to be of interest for a user?,False,1.0,1.0,1.0,125,0,0,0,0.34,16.22
d28cb53b-d16c-422e-90e7-cc3fb7adf694,19e1254c13f5,meta-llama-3.1-8b-instruct,What topics does Instagram determine to be of interest for a user?,True,,,,0,0,0,6,,69.31
841cde0e-d311-4a44-9509-59d97d30ea29,ec2df5440d1e,meta-llama-3.1-8b-instruct,What topics does Instagram determine to be of interest for a user?,True,,,,0,0,0,6,,83.56
6d2682a1-fd25-4ec4-a727-909c10822bff,be30c03571e6,meta-llama-3.1-8b-instruct,What topics does Instagram determine to be of interest for a user?,False,1.0,1.0,1.0,42,0,0,0,0.21,16.9
0337f23b-a786-4369-afa3-686d17934187,9dd5c6ef7491,meta-llama-3.1-8b-instruct,What topics does Instagram determine to be of interest for a user?,False,1.0,1.0,1.0,103,0,0,0,0.2,13.95
8310e1c7-4f68-4a8c-ac77-b683c712f755,86b59acea929,codestral-22b,What topics does Instagram determine to be of interest for a user?,True,1.0,1.0,1.0,0,0,0,1,0.19,31.93
8ac8b00e-7796-45e6-8a80-900f77aa6475,b70bc07b63be,codestral-22b,What topics does Instagram determine to be of interest for a user?,True,1.0,1.0,1.0,0,0,0,1,0.2,28.75
cd491e11-5fc3-425a-b978-41bfbc8bacf3,efc2df336587,codestral-22b,What topics does Instagram determine to be of interest for a user?,False,1.0,1.0,1.0,32,0,0,0,0.22,17.09
8b97e6a7-8bb3-480e-8b24-8b98a3e04af8,3ccff49e121d,codestral-22b,What topics does Instagram determine to be of interest for a user?,False,1.0,1.0,1.0,20,0,0,0,0.21,16.96
b18d546b-1e52-402c-bcf0-e8fa8b7e9eef,ab368ab82b0f,codestral-22b,What topics does Instagram determine to be of interest for a user?,False,1.0,1.0,1.0,20,0,0,0,0.18,16.95
86d32367-ee1e-4f7c-b1ec-d495cd1cc389,ea89d62a1f88,codestral-22b,What topics does Instagram determine to be of interest for a user?,False,1.0,1.0,1.0,6,0,0,0,0.2,14.06
dd7598ce-2283-40eb-962d-52fe6cc84f9c,a352e9bb575a,codestral-22b,What topics does Instagram determine to be of interest for a user?,False,1.0,1.0,1.0,6,0,0,0,0.2,14.07
f63a532e-aa52-48ad-902d-75fb08259d79,1ccacb482d0e,codestral-22b,What topics does Instagram determine to be of interest for a user?,True,1.0,1.0,1.0,0,0,0,1,0.19,48.89
f206e14c-49e4-4793-9630-596fde488dda,fd23adcc813f,codestral-22b,What topics does Instagram determine to be of interest for a user?,False,1.0,1.0,1.0,125,0,0,0,0.2,16.92
8af5ca1d-ab57-4277-8213-7c9ee989a411,19e1254c13f5,codestral-22b,What topics does Instagram determine to be of interest for a user?,True,1.0,1.0,1.0,0,0,0,1,0.23,28.85
c0f82286-751d-46de-a0e6-eb185a65929a,ec2df5440d1e,codestral-22b,What topics does Instagram determine to be of interest for a user?,True,1.0,1.0,1.0,0,0,0,1,0.18,29.07
aad23f5e-78ea-4bfc-97c2-46baf12dd432,be30c03571e6,codestral-22b,What topics does Instagram determine to be of interest for a user?,False,1.0,1.0,1.0,42,0,0,0,0.19,16.98
0ade07af-f9b9-4e1c-b659-955608fd1579,9dd5c6ef7491,codestral-22b,What topics does Instagram determine to be of interest for a user?,False,1.0,1.0,1.0,103,0,0,0,0.19,16.91
f770766c-6dab-4f12-9f82-1b630eedc5d2,86b59acea929,qwen2.5-coder-32b-instruct,What topics does Instagram determine to be of interest for a user?,True,1.0,1.0,1.0,0,0,0,0,0.2,12.21
49926388-76b6-4e80-a40a-19f8d2c9964c,b70bc07b63be,qwen2.5-coder-32b-instruct,What topics does Instagram determine to be of interest for a user?,True,1.0,1.0,1.0,0,0,0,0,0.19,12.14
3fa1a71c-6ec7-4d43-8d6c-2cf97517763b,efc2df336587,qwen2.5-coder-32b-instruct,What topics does Instagram determine to be of interest for a user?,False,1.0,1.0,1.0,32,0,0,0,0.21,12.08
a4442cb0-09c0-49cd-85bb-3fb46bde3d6a,3ccff49e121d,qwen2.5-coder-32b-instruct,What topics does Instagram determine to be of interest for a user?,False,1.0,1.0,1.0,20,0,0,0,0.21,9.11
bb26aed4-a9a9-4c8b-a7ab-290245d8cbc2,ab368ab82b0f,qwen2.5-coder-32b-instruct,What topics does Instagram determine to be of interest for a user?,False,1.0,1.0,1.0,20,0,0,0,0.19,12.15
b2e9d72a-7b95-420c-a8ab-38495c19ff0b,ea89d62a1f88,qwen2.5-coder-32b-instruct,What topics does Instagram determine to be of interest for a user?,False,1.0,1.0,1.0,6,0,0,0,0.2,12.14
d8527730-4ae1-4790-aa05-b869e79b9c78,a352e9bb575a,qwen2.5-coder-32b-instruct,What topics does Instagram determine to be of interest for a user?,False,1.0,1.0,1.0,6,0,0,0,0.18,12.05
